,0
2023-01-01 00:00:00+01:00,-3.61
2023-01-01 01:00:00+01:00,-1.46
2023-01-01 02:00:00+01:00,-1.52
2023-01-01 03:00:00+01:00,-5.0
2023-01-01 04:00:00+01:00,-4.6
2023-01-01 05:00:00+01:00,-4.05
2023-01-01 06:00:00+01:00,-3.6
2023-01-01 07:00:00+01:00,0.0
2023-01-01 08:00:00+01:00,0.0
2023-01-01 09:00:00+01:00,0.0
2023-01-01 10:00:00+01:00,0.99
2023-01-01 11:00:00+01:00,0.58
2023-01-01 12:00:00+01:00,0.04
2023-01-01 13:00:00+01:00,0.0
2023-01-01 14:00:00+01:00,0.85
2023-01-01 15:00:00+01:00,23.53
2023-01-01 16:00:00+01:00,36.54
2023-01-01 17:00:00+01:00,46.03
2023-01-01 18:00:00+01:00,99.9
2023-01-01 19:00:00+01:00,54.95
2023-01-01 20:00:00+01:00,62.0
2023-01-01 21:00:00+01:00,52.93
2023-01-01 22:00:00+01:00,45.96
2023-01-01 23:00:00+01:00,35.0
2023-01-02 00:00:00+01:00,109.9
